x_m	y_m	psi_m	x_ref	y_ref	psi_ref	psi_error	x_error	y_error	Absolute Time	tau_commanded_psi	tau_commanded_x	tau_commanded_y	tau_psi	tau_surge	tau_sway
1522,018865	-435,240499	3,914576	1,500000	-0,450000	0,000000	3,896195	0,021943	0,014577	3583921557,586713	0,046390	-0,019312	-0,010533	-0,034500	-0,014296	-0,010996
1522,018865	-435,240499	3,914576	1,500000	-0,450000	0,000000	3,899150	0,021956	0,014621	3583921557,596715	0,046299	-0,019288	-0,010514	-0,034419	-0,014294	-0,011007
1522,110983	-435,112854	3,919961	1,500000	-0,450000	0,000000	3,903470	0,021977	0,014676	3583921557,606714	0,046270	-0,019297	-0,010512	-0,034391	-0,014303	-0,011026
1522,110983	-435,112854	3,919961	1,500000	-0,450000	0,000000	3,906078	0,021990	0,014708	3583921557,616716	0,046168	-0,019261	-0,010488	-0,034298	-0,014301	-0,011026
1522,177091	-435,055864	3,923715	1,500000	-0,450000	0,000000	3,909782	0,022034	0,014778	3583921557,626717	0,046139	-0,019240	-0,010477	-0,034247	-0,014333	-0,011060
1522,177091	-435,055864	3,923715	1,500000	-0,450000	0,000000	3,912017	0,022061	0,014821	3583921557,636716	0,046038	-0,019185	-0,010449	-0,034140	-0,014346	-0,011068
1522,246760	-434,984498	3,927326	1,500000	-0,450000	0,000000	3,914850	0,022103	0,014869	3583921557,646717	0,045975	-0,019139	-0,010428	-0,034057	-0,014375	-0,011081
1522,246760	-434,984498	3,927326	1,500000	-0,450000	0,000000	3,916559	0,022129	0,014898	3583921557,656714	0,045855	-0,019067	-0,010393	-0,033931	-0,014385	-0,011076
1522,324457	-434,920784	3,930252	1,500000	-0,450000	0,000000	3,919017	0,022172	0,014944	3583921557,666715	0,045782	-0,019007	-0,010367	-0,033835	-0,014414	-0,011086
1522,324457	-434,920784	3,930252	1,500000	-0,450000	0,000000	3,920500	0,022198	0,014972	3583921557,676717	0,045657	-0,018926	-0,010330	-0,033702	-0,014424	-0,011080
1522,376513	-434,889898	3,933300	1,500000	-0,450000	0,000000	3,922551	0,022244	0,015014	3583921557,686718	0,045575	-0,018851	-0,010299	-0,033591	-0,014456	-0,011086
1522,376513	-434,889898	3,933300	1,500000	-0,450000	0,000000	3,923787	0,022272	0,015039	3583921557,696718	0,045446	-0,018760	-0,010259	-0,033450	-0,014469	-0,011078
1522,475520	-434,819218	3,935533	1,500000	-0,450000	0,000000	3,925737	0,022310	0,015067	3583921557,706718	0,045354	-0,018684	-0,010228	-0,033337	-0,014491	-0,011070
1522,475520	-434,819218	3,935533	1,500000	-0,450000	0,000000	3,926913	0,022332	0,015083	3583921557,716719	0,045220	-0,018591	-0,010188	-0,033195	-0,014497	-0,011054
1522,556695	-434,809041	3,935907	1,500000	-0,450000	0,000000	3,928504	0,022385	0,015121	3583921557,726718	0,045132	-0,018495	-0,010152	-0,033070	-0,014535	-0,011056
1522,556695	-434,809041	3,935907	1,500000	-0,450000	0,000000	3,929462	0,022417	0,015144	3583921557,736720	0,045003	-0,018390	-0,010109	-0,032922	-0,014551	-0,011045
1522,655262	-434,775416	3,938490	1,500000	-0,450000	0,000000	3,930186	0,022469	0,015162	3583921557,746719	0,044883	-0,018267	-0,010062	-0,032765	-0,014586	-0,011028
1522,655262	-434,775416	3,938490	1,500000	-0,450000	0,000000	3,930621	0,022500	0,015173	3583921557,756717	0,044735	-0,018145	-0,010013	-0,032599	-0,014600	-0,011005
1522,740854	-434,795471	3,939636	1,500000	-0,450000	0,000000	3,931903	0,022558	0,015193	3583921557,766721	0,044646	-0,018033	-0,009974	-0,032465	-0,014642	-0,010989
1522,740854	-434,795471	3,939636	1,500000	-0,450000	0,000000	3,932675	0,022592	0,015205	3583921557,776720	0,044518	-0,017916	-0,009929	-0,032314	-0,014660	-0,010967
1522,808493	-434,731155	3,942836	1,500000	-0,450000	0,000000	3,933592	0,022647	0,015204	3583921557,786720	0,044415	-0,017794	-0,009885	-0,032168	-0,014697	-0,010931
1522,808493	-434,731155	3,942836	1,500000	-0,450000	0,000000	3,934143	0,022681	0,015203	3583921557,796720	0,044280	-0,017669	-0,009838	-0,032010	-0,014712	-0,010898
1522,937067	-434,727394	3,945211	1,500000	-0,450000	0,000000	3,935740	0,022727	0,015229	3583921557,806721	0,044199	-0,017567	-0,009803	-0,031892	-0,014743	-0,010888
1522,937067	-434,727394	3,945211	1,500000	-0,450000	0,000000	3,936702	0,022756	0,015244	3583921557,816720	0,044079	-0,017454	-0,009761	-0,031751	-0,014754	-0,010870
1523,021797	-434,717931	3,950212	1,500000	-0,450000	0,000000	3,938220	0,022824	0,015254	3583921557,826719	0,044017	-0,017338	-0,009725	-0,031633	-0,014805	-0,010845
1523,021797	-434,717931	3,950212	1,500000	-0,450000	0,000000	3,939135	0,022865	0,015261	3583921557,836720	0,043908	-0,017216	-0,009682	-0,031492	-0,014829	-0,010818
1523,104043	-434,706930	3,954445	1,500000	-0,450000	0,000000	3,941665	0,022923	0,015269	3583921557,846719	0,043878	-0,017132	-0,009659	-0,031414	-0,014870	-0,010790
1523,104043	-434,706930	3,954445	1,500000	-0,450000	0,000000	3,943190	0,022958	0,015273	3583921557,856719	0,043790	-0,017029	-0,009624	-0,031297	-0,014888	-0,010761
1523,166567	-434,692226	3,960560	1,500000	-0,450000	0,000000	3,945784	0,023012	0,015280	3583921557,866722	0,043760	-0,016947	-0,009603	-0,031223	-0,014924	-0,010733
1523,166567	-434,692226	3,960560	1,500000	-0,450000	0,000000	3,947349	0,023045	0,015285	3583921557,876722	0,043672	-0,016844	-0,009569	-0,031109	-0,014939	-0,010704
1523,312736	-434,715829	3,968478	1,500000	-0,450000	0,000000	3,950712	0,023089	0,015293	3583921557,886723	0,043665	-0,016788	-0,009557	-0,031066	-0,014967	-0,010678
1523,312736	-434,715829	3,968478	1,500000	-0,450000	0,000000	3,952741	0,023116	0,015298	3583921557,896723	0,043591	-0,016701	-0,009529	-0,030971	-0,014976	-0,010651
