x_m	y_m	psi_m	psi_error	x_error	y_error	Absolute Time	tau_commanded_psi	tau_commanded_x	tau_commanded_y	tau_psi	tau_surge	tau_sway	psi_ref_filter	x_ref_filter	y_ref_filter
1496,797434	-495,422932	0,903607	0,740810	0,009245	0,001680	3584087419,852207	-0,000891	-0,003574	-0,000089	-0,002586	-0,000740	0,001267	0,000000	1487,803705	-497,057923
1496,797434	-495,422932	0,903607	0,733951	0,009122	0,001660	3584087419,862208	-0,000857	-0,003572	-0,000082	-0,002562	-0,000696	0,001271	0,000000	1487,824726	-497,058731
1496,587146	-495,441830	0,891870	0,729816	0,009040	0,001648	3584087419,872210	-0,000824	-0,003571	-0,000075	-0,002548	-0,000666	0,001274	0,000000	1487,845722	-497,059472
1496,587146	-495,441830	0,891870	0,727326	0,008982	0,001641	3584087419,882204	-0,000793	-0,003569	-0,000068	-0,002539	-0,000644	0,001276	0,000000	1487,866694	-497,060148
1496,339543	-495,481284	0,879806	0,721185	0,008855	0,001629	3584087419,892210	-0,000762	-0,003569	-0,000062	-0,002517	-0,000599	0,001278	0,000000	1487,887645	-497,060759
1496,339543	-495,481284	0,879806	0,717483	0,008771	0,001623	3584087419,902218	-0,000733	-0,003568	-0,000055	-0,002504	-0,000568	0,001280	0,000000	1487,908577	-497,061303
1496,065605	-495,527575	0,865278	0,710480	0,008613	0,001603	3584087419,912210	-0,000704	-0,003568	-0,000049	-0,002480	-0,000512	0,001284	0,000000	1487,929491	-497,061782
1495,759510	-495,550975	0,851254	0,706258	0,008510	0,001591	3584087419,922210	-0,000678	-0,003569	-0,000044	-0,002465	-0,000475	0,001287	0,000000	1487,950391	-497,062195
1495,759510	-495,550975	0,851254	0,697965	0,008330	0,001566	3584087419,932209	-0,000654	-0,003570	-0,000038	-0,002436	-0,000411	0,001292	0,000000	1487,971279	-497,062543
1495,457914	-495,601874	0,837516	0,687413	0,008093	0,001542	3584087419,942211	-0,000631	-0,003573	-0,000033	-0,002400	-0,000326	0,001296	0,000000	1487,992155	-497,062824
1495,457914	-495,601874	0,837516	0,681046	0,007941	0,001527	3584087419,952210	-0,000612	-0,003577	-0,000029	-0,002377	-0,000272	0,001300	0,000000	1488,013023	-497,063040
1495,105619	-495,669114	0,820067	0,671770	0,007722	0,001498	3584087419,962211	-0,000594	-0,003581	-0,000026	-0,002345	-0,000195	0,001305	0,000000	1488,033884	-497,063189
1495,105619	-495,669114	0,820067	0,666175	0,007581	0,001480	3584087419,972210	-0,000581	-0,003588	-0,000023	-0,002325	-0,000144	0,001309	0,000000	1488,054741	-497,063273
1494,753145	-495,707549	0,802692	0,655896	0,007348	0,001443	3584087419,982211	-0,000569	-0,003595	-0,000021	-0,002290	-0,000062	0,001316	0,000000	1488,075595	-497,063291
1494,753145	-495,707549	0,802692	0,649695	0,007199	0,001420	3584087419,992211	-0,000561	-0,003603	-0,000021	-0,002268	-0,000009	0,001321	0,000000	1488,096449	-497,063243
1494,345992	-495,745166	0,784012	0,639080	0,006961	0,001392	3584087420,002211	-0,000556	-0,003611	-0,000021	-0,002231	0,000075	0,001327	0,000000	1488,117304	-497,063128
1494,345992	-495,745166	0,784012	0,632675	0,006809	0,001374	3584087420,012210	-0,000555	-0,003620	-0,000023	-0,002208	0,000129	0,001331	0,000000	1488,138162	-497,062949
1493,926129	-495,816946	0,761589	0,621420	0,006548	0,001348	3584087420,022213	-0,000557	-0,003629	-0,000026	-0,002169	0,000221	0,001336	0,000000	1488,159025	-497,062703
1493,926129	-495,816946	0,761589	0,614629	0,006382	0,001333	3584087420,032210	-0,000564	-0,003635	-0,000031	-0,002145	0,000280	0,001339	0,000000	1488,179895	-497,062392
1493,524658	-495,850076	0,740941	0,601659	0,006107	0,001295	3584087420,042213	-0,000575	-0,003640	-0,000037	-0,002100	0,000377	0,001346	0,000000	1488,200773	-497,062015
1493,524658	-495,850076	0,740941	0,593832	0,005933	0,001271	3584087420,052211	-0,000591	-0,003641	-0,000045	-0,002073	0,000438	0,001351	0,000000	1488,221662	-497,061572
1493,142980	-495,922544	0,720008	0,580939	0,005661	0,001244	3584087420,062213	-0,000611	-0,003638	-0,000055	-0,002028	0,000534	0,001357	0,000000	1488,242562	-497,061064
1493,142980	-495,922544	0,720008	0,573159	0,005488	0,001227	3584087420,072212	-0,000636	-0,003630	-0,000066	-0,002001	0,000595	0,001360	0,000000	1488,263476	-497,060490
1492,724292	-495,956723	0,698192	0,560180	0,005224	0,001188	3584087420,082213	-0,000664	-0,003617	-0,000079	-0,001955	0,000688	0,001368	0,000000	1488,284405	-497,059851
1492,724292	-495,956723	0,698192	0,552348	0,005056	0,001164	3584087420,092212	-0,000697	-0,003600	-0,000093	-0,001928	0,000747	0,001373	0,000000	1488,305351	-497,059147
1492,288941	-495,966716	0,675366	0,538989	0,004781	0,001136	3584087420,102214	-0,000731	-0,003580	-0,000107	-0,001881	0,000844	0,001378	0,000000	1488,326314	-497,058378
1492,288941	-495,966716	0,675366	0,530928	0,004606	0,001118	3584087420,112212	-0,000769	-0,003555	-0,000122	-0,001853	0,000905	0,001382	0,000000	1488,347297	-497,057544
1491,848230	-496,007901	0,651696	0,517031	0,004320	0,001103	3584087420,122215	-0,000809	-0,003528	-0,000137	-0,001805	0,001005	0,001385	0,000000	1488,368300	-497,056646
1491,848230	-496,007901	0,651696	0,508643	0,004139	0,001094	3584087420,132213	-0,000851	-0,003498	-0,000152	-0,001775	0,001069	0,001387	0,000000	1488,389324	-497,055683
1491,418511	-496,016949	0,627579	0,494215	0,003846	0,001071	3584087420,142215	-0,000895	-0,003467	-0,000167	-0,001725	0,001171	0,001392	0,000000	1488,410371	-497,054655
